country_wb,country_so
"venezuela, rb",venezuela
russian federation,russia
"korea, rep.",south korea
"iran, islamic rep.",iran
"egypt, arab rep.",egypt
"hong kong sar, china",hong kong
moldova,moldavia
"macedonia, fyr",macedonia
