currency_name,currency_code
Australian dollars (A$),aud
Bitcoin (btc),xbt
Brazilian reais (R$),brl
British pounds sterling,gbp
Canadian dollars (C$),cad
Chinese yuan renminbi,cny
Euros,eur
Indian rupees (?),inr
Japanese yen,jpy
Mexican pesos,mxn
Polish zloty (zl),pln
Russian rubles (?),rub
Singapore dollars (S$),sgd
South African rands (R),zar
Swedish kroner (SEK),sek
Swiss francs,chf
U.S. dollars ($),usd
