province_original,province_consolidated
alberta,alberta
new_brunswick,atlantic canada
newfoundland_and_labrador,atlantic canada
nova_scotia,atlantic canada
prince_edward_island,atlantic canada
british_columbia,british columbia
manitoba,manitoba
ontario,ontario
quebec,quebec
saskatchewan,saskatchewan
northwest_territories,territories
yukon,territories
nunavut,territories
