company_type,company_type_label
government agency or public school/university,Government agency or public school/university
non-profit/non-governmental organization or private school/u,Non-profit/non-governmental organization or private school/university
other,Other
pre-series a startup,Pre-series A startup
"privately-held limited company (i.e. llc, pvt. ltd., gmbh, s","Privately-held limited company, not in startup mode"
publicly-traded corporation,Publicly-traded corporation
"sole proprietorship or partnership, not in startup mode","Sole proprietorship or partnership, not in startup mode"
state-owned company,State-owned company
venture-funded startup,Venture-funded startup
