city,dev_role,visitors,share,loc_quo,cities,lat,long
saskatoon,graphics programmers,82,0.020691395407519558,1.2732556209506132,Saskatoon,52.133214,-106.670046
saskatoon,ios developers,60,0.01514004542013626,0.7350568577217154,Saskatoon,52.133214,-106.670046
saskatoon,machine learning specialists,204,0.05147615442846329,1.3222170315883472,Saskatoon,52.133214,-106.670046
saskatoon,systems administrators,537,0.13550340651021953,1.3384661738140424,Saskatoon,52.133214,-106.670046
toronto,android developers,5481,0.027247915765611253,0.9079264540877863,Toronto,43.653226,-79.383184
toronto,back-end web,29790,0.1480962252613682,1.0798542933164248,Toronto,43.653226,-79.383184
toronto,data scientists,6636,0.03298981372388182,0.8752797852340023,Toronto,43.653226,-79.383184
toronto,database administrators,10826,0.053819729260811425,0.9102879947129755,Toronto,43.653226,-79.383184
toronto,desktop developers,7708,0.03831909044359269,1.0505841697831135,Toronto,43.653226,-79.383184
toronto,embedded developers,13415,0.06669052909973999,0.91553502856393,Toronto,43.653226,-79.383184
toronto,front-end web,20459,0.10170864963485506,1.0394975411498766,Toronto,43.653226,-79.383184
toronto,full-stack web,116322,0.5782762374908652,1.0052864777451291,Toronto,43.653226,-79.383184
toronto,graphics programmers,2524,0.012547662724393869,0.7721268565493136,Toronto,43.653226,-79.383184
toronto,ios developers,5264,0.02616913493708769,1.2705247284507892,Toronto,43.653226,-79.383184
toronto,machine learning specialists,7448,0.03702654198545386,0.9510641379014455,Toronto,43.653226,-79.383184
toronto,systems administrators,20291,0.10087346447728843,0.9964009283272167,Toronto,43.653226,-79.383184
vancouver,android developers,1862,0.029226639878196174,0.9738594224150219,Vancouver,49.282729,-123.120738
vancouver,back-end web,9082,0.14255442716099767,1.0394458733123602,Vancouver,49.282729,-123.120738
vancouver,data scientists,2782,0.043667299753567,1.1585729179908066,Vancouver,49.282729,-123.120738
vancouver,database administrators,2893,0.04540959676026935,0.7680419679429508,Vancouver,49.282729,-123.120738
vancouver,desktop developers,2634,0.041344237077963863,1.1335237993137628,Vancouver,49.282729,-123.120738
vancouver,embedded developers,5241,0.08226467218132447,1.1293386034273474,Vancouver,49.282729,-123.120738
vancouver,front-end web,7363,0.11557236811125586,1.1811895341037786,Vancouver,49.282729,-123.120738
vancouver,full-stack web,36449,0.5721169693449905,0.9945790881302274,Vancouver,49.282729,-123.120738
vancouver,graphics programmers,1053,0.016528277009527696,1.0170759966900043,Vancouver,49.282729,-123.120738
vancouver,ios developers,1766,0.027719788412940087,1.345809738485129,Vancouver,49.282729,-123.120738
vancouver,machine learning specialists,2732,0.04288248128207946,1.101479854846776,Vancouver,49.282729,-123.120738
vancouver,systems administrators,6006,0.0942723947950839,0.9311973389255449,Vancouver,49.282729,-123.120738
victoria,android developers,149,0.018860759493670887,0.628458434611834,Victoria,48.428421,-123.365644
victoria,back-end web,1178,0.14911392405063292,1.0872749173394267,Victoria,48.428421,-123.365644
victoria,data scientists,392,0.04962025316455696,1.3165156037752783,Victoria,48.428421,-123.365644
victoria,database administrators,462,0.058481012658227846,0.9891273046630662,Victoria,48.428421,-123.365644
victoria,desktop developers,252,0.03189873417721519,0.8745589933047437,Victoria,48.428421,-123.365644
victoria,embedded developers,682,0.08632911392405063,1.1851357134106557,Victoria,48.428421,-123.365644
victoria,front-end web,792,0.10025316455696202,1.0246219807616317,Victoria,48.428421,-123.365644
victoria,full-stack web,4702,0.5951898734177216,1.0346894661171726,Victoria,48.428421,-123.365644
victoria,graphics programmers,150,0.0189873417721519,1.1683958071535845,Victoria,48.428421,-123.365644
victoria,ios developers,175,0.022151898734177215,1.0754858802773264,Victoria,48.428421,-123.365644
victoria,machine learning specialists,377,0.047721518987341775,1.2257754270672636,Victoria,48.428421,-123.365644
victoria,systems administrators,743,0.0940506329113924,0.9290068347337558,Victoria,48.428421,-123.365644
waterloo_kitchener_cambridge,android developers,417,0.027139602993817118,0.9043173695738221,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,back-end web,2535,0.16498535632931988,1.2030026089600163,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,data scientists,1082,0.07041978522616336,1.8683650354885415,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,database administrators,535,0.03481939472827855,0.5889230109413294,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,desktop developers,593,0.038594207614708755,1.0581269830770645,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
