province,name
alberta,Alberta
british_columbia,British Columbia
manitoba,Manitoba
new_brunswick,New Brunswick
newfoundland_and_labrador,Newfoundland and Labrador
northwest_territories,Northwest Territories
nova_scotia,Nova Scotia
nunavut,Nunavut
ontario,Ontario
prince_edward_island,Prince Edward Island
quebec,Québec
saskatchewan,Saskatchewan
yukon,Yukon
